timestamp,accelerometer,accel_x,accel_y,accel_z,gyroscope,gyro_x,gyro_y,gyro_z,magnetometer,magnet_x,magnet_y,magnet_z
790907.673,3,-0.355,-0.176,10.137,4,0,0,0,,,,
790907.7306,3,-0.357,-0.179,10.141,4,0,0,0,5,-5.22,0.815,-8.203
790907.7882,3,-0.357,-0.175,10.134,4,0,0,0,5,-6.239,0.696,-8.757
790907.8459,3,-0.35,-0.182,10.134,4,0,0,0,5,-5.368,1.836,-7.619
790907.9035,3,-0.357,-0.176,10.135,4,0,0,0,,,,
790907.9611,3,-0.355,-0.177,10.143,4,0,0,0,5,-5.148,0.684,-7.971
790908.0187,3,-0.357,-0.178,10.139,4,0,0,0,5,-6.442,0.771,-9.364
790908.0764,3,-0.357,-0.175,10.138,4,0,0,0,,,,
790908.134,3,-0.353,-0.175,10.132,4,0,0,0,5,-5.331,0.96,-8.424
790908.1916,3,-0.353,-0.173,10.138,4,0,0,0,5,-6.113,1.236,-9.715
790908.2492,3,-0.353,-0.175,10.142,4,0,0,0,5,-6.229,2.997,-8.495
790908.3068,3,-0.352,-0.18,10.139,4,0,0,0,,,,
790908.3645,3,-0.352,-0.178,10.141,4,-0.001,0,0,5,-5.801,0.995,-9.059
790908.4221,3,-0.354,-0.178,10.138,4,0,0,0,5,-5.197,2,-7.758
790908.4797,3,-0.355,-0.178,10.139,4,0,0,0,,,,
790908.5373,3,-0.354,-0.181,10.139,4,0,0,0,5,-5.418,1.208,-9.077
790908.5949,3,-0.354,-0.177,10.138,4,0,0,0,5,-5.927,1.192,-8.592
790908.6526,3,-0.351,-0.175,10.138,4,0,0,0,5,-6.856,2.098,-8.774
790908.7102,3,-0.352,-0.179,10.135,4,0,0,0,,,,
790908.7678,3,-0.35,-0.176,10.134,4,0,0,0,5,-5.226,1.167,-9.334
790908.8254,3,-0.358,-0.175,10.138,4,0,0,0,5,-4.314,1.146,-7.309
790908.8831,3,-0.355,-0.178,10.138,4,0,0,0,,,,
790908.9407,3,-0.352,-0.176,10.136,4,0,0,0,5,-6.252,2.022,-9.23
790908.9983,3,-0.354,-0.175,10.135,4,0,0,0,5,-6.367,1.923,-7.841
790909.0559,3,-0.354,-0.179,10.14,4,0,0,0,5,-6.879,1.509,-9.073
790909.1136,3,-0.351,-0.179,10.136,4,0,0,0,5,-6,0.746,-7.297
790909.1712,3,-0.353,-0.183,10.135,4,0,0,0,5,-4.472,0.894,-8.09
790909.2288,3,-0.354,-0.177,10.136,4,0,0,0,5,-5.832,1.097,-8.041
790909.2864,3,-0.354,-0.179,10.139,4,0,0,0,,,,
790909.3441,3,-0.354,-0.175,10.138,4,-0.001,0,0,5,-4.979,0.877,-7.1
790909.4017,3,-0.356,-0.178,10.142,4,0,0,0,5,-6.171,1.63,-8.98
790909.4593,3,-0.353,-0.177,10.137,4,0,0,0,,,,
790909.5169,3,-0.353,-0.176,10.14,4,0,0,0,5,-5.609,1.848,-7.741
790909.5746,3,-0.353,-0.18,10.137,4,0,0,0,5,-6.839,1.311,-7.936
790909.6322,3,-0.353,-0.175,10.138,4,0,0,0,,,,
790909.6898,3,-0.354,-0.177,10.135,4,0,0,0,5,-6.323,-0.105,-9.222
790909.7474,3,-0.353,-0.178,10.138,4,0,0,0,5,-5.333,0.716,-7.8
790909.8051,3,-0.354,-0.176,10.136,4,0,0,0,5,-5.85,0.8,-8.582
790909.8627,3,-0.351,-0.179,10.142,4,0,0,0,5,-5.55,0.366,-8.922
790909.9203,3,-0.357,-0.175,10.137,4,0,0,0,5,-5.417,1.512,-6.657
790909.9779,3,-0.353,-0.178,10.135,4,0,0,0,5,-5.731,1.292,-7.549
790910.0355,3,-0.352,-0.18,10.143,4,0,0,0,,,,
790910.0932,3,-0.352,-0.178,10.139,4,0,0,0,5,-6.168,0.055,-8.043
790910.1508,3,-0.356,-0.175,10.135,4,0,0,0,5,-6.198,0.984,-8.293
790910.2084,3,-0.356,-0.177,10.138,4,0,0,0,5,-7.921,1.035,-8.878
790910.266,3,-0.349,-0.179,10.139,4,0,0,0,5,-5.98,1.233,-8.931
790910.3236,3,-0.361,-0.178,10.142,4,0,0.001,0,5,-6.728,0.377,-8.981
790910.3813,3,-0.353,-0.179,10.138,4,0,0,0,5,-7.231,-0.146,-9.18
790910.4389,3,-0.347,-0.178,10.138,4,0,0,0,,,,
790910.4965,3,-0.35,-0.176,10.136,4,0,0,0,5,-7.182,1.787,-8.044
790910.5541,3,-0.353,-0.175,10.137,4,0,0,0,5,-6.653,1.489,-8.269
790910.6118,3,-0.352,-0.175,10.138,4,0,0,0,5,-5.765,1.688,-8.289
790910.6694,3,-0.352,-0.175,10.136,4,0,0,0,5,-6.419,1.517,-9.073
790910.727,3,-0.351,-0.177,10.135,4,0,0,0,5,-6.534,1.324,-8.188
790910.7846,3,-0.353,-0.175,10.144,4,0,0,0,5,-6.416,1.344,-9.262
790910.8423,3,-0.353,-0.177,10.138,4,0,0,0,,,,
790910.8999,3,-0.356,-0.176,10.135,4,0,0,0,5,-5.984,1.688,-6.731
790910.9575,3,-0.353,-0.179,10.141,4,0,0,0,5,-6.494,1.399,-8.223
790911.0151,3,-0.353,-0.174,10.139,4,0,0,0,5,-6.18,1.45,-8.636
790911.0728,3,-0.351,-0.173,10.14,4,0,0,0,5,-6.915,-0.249,-8.76
790911.1304,3,-0.354,-0.179,10.138,4,0,0,0,5,-5.516,1.515,-7.446
790911.188,3,-0.353,-0.172,10.137,4,0,0,0,5,-5.998,2.106,-7.935
790911.2456,3,-0.353,-0.175,10.142,4,0,0,0,,,,
790911.3033,3,-0.353,-0.176,10.138,4,0,0,0,5,-8.054,1.17,-8.455
790911.3609,3,-0.353,-0.18,10.137,4,0,0,0,5,-5.089,0.816,-7.724
790911.4185,3,-0.352,-0.175,10.139,4,0,0,0,5,-5.363,1.434,-7.97
790911.4761,3,-0.353,-0.179,10.137,4,0,0,0,5,-6.116,0.862,-9.352
790911.5338,3,-0.353,-0.175,10.139,4,0,0,0,5,-5.803,1.613,-8.598
790911.5914,3,-0.353,-0.176,10.14,4,0,0,0,5,-5.489,2.296,-7.956
790911.649,3,-0.351,-0.176,10.141,4,0,0,0,,,,
790911.7066,3,-0.355,-0.175,10.139,4,0,0,0,5,-6.401,1.794,-8.325
790911.7642,3,-0.351,-0.175,10.143,4,0,0,0,5,-7.385,1.357,-8.038
790911.8219,3,-0.357,-0.174,10.138,4,0,0,0,,,,
790911.8795,3,-0.348,-0.177,10.139,4,0,0,0,5,-6.293,0.963,-6.731
790911.9371,3,-0.355,-0.177,10.142,4,0,0,0,5,-5.989,1.685,-7.527
790911.9947,3,-0.353,-0.177,10.141,4,0,0,0,5,-6.09,0.107,-7.729
790912.0523,3,-0.353,-0.177,10.138,4,0,0,0,,,,
790912.11,3,-0.35,-0.172,10.143,4,0,0,0,5,-5.115,0.833,-9.085
790912.1676,3,-0.358,-0.178,10.141,4,0,0,0,5,-4.784,0.612,-8.069
790912.2252,3,-0.353,-0.176,10.142,4,0,0,0,,,,
790912.2828,3,-0.353,-0.175,10.136,4,0,0,0,5,-5.547,0.943,-7.513
790912.3405,3,-0.35,-0.176,10.138,4,0,0,0,5,-5.55,0.899,-9.007
790912.3981,3,-0.354,-0.176,10.135,4,0,0,0,5,-3.893,2.107,-7.506
790912.4557,3,-0.353,-0.18,10.138,4,0,0,0,,,,
790912.5133,3,-0.353,-0.177,10.14,4,0.001,0,0,5,-6.882,1.077,-8.295
790912.571,3,-0.354,-0.177,10.136,4,0,0,0,5,-6.488,1.265,-7.651
790912.6286,3,-0.356,-0.172,10.138,4,0,0,0,,,,
790912.6862,3,-0.353,-0.178,10.144,4,0,0,0,5,-6.107,1.088,-8.739
790912.7438,3,-0.349,-0.183,10.142,4,0,0,0,5,-5.65,1.172,-8.203
790912.8015,3,-0.356,-0.179,10.14,4,0,0.001,0,5,-6.425,0.606,-8.101
790912.8591,3,-0.353,-0.175,10.138,4,0,0,0,,,,
790912.9167,3,-0.353,-0.175,10.142,4,0,0,0,5,-5.998,1.073,-7.77
790912.9743,3,-0.356,-0.174,10.135,4,0,0,0,5,-6.607,0.656,-8.189
790913.032,3,-0.351,-0.177,10.142,4,0,0,0,,,,
790913.0896,3,-0.354,-0.176,10.143,4,0,0,0,5,-4.207,2.042,-7.213
790913.1472,3,-0.356,-0.177,10.142,4,0,0,0,5,-6.201,2.032,-8.162
790913.2048,3,-0.35,-0.175,10.137,4,0,0,0,5,-6.396,0.998,-7.848
790913.2625,3,-0.354,-0.177,10.135,4,0,0,0,5,-5.531,2.274,-7.196
