timestamp,accelerometer,x,y,z,gyro,x,y,z,,,,,,,,,,,
622238.4861,3,-0.298,-0.146,10.064,4,0,0,-0.001,5,-11.053,12.953,-8.862,,,,,,,
622238.5438,3,-0.304,-0.142,10.063,4,0,0,0,5,-11.554,12.642,-7.809,,,,,,,
622238.6014,3,-0.305,-0.138,10.067,4,0,0,0,5,-11.395,13.396,-8.037,,,,,,,
622238.6591,3,-0.31,-0.141,10.063,4,0,0,0,5,-10.049,13.333,-7.678,,,,,,,
622238.7167,3,-0.309,-0.14,10.062,4,0,0,0,5,-10.092,12.599,-7.364,,,,,,,
622238.7743,3,-0.311,-0.143,10.064,4,0,0,0,5,-9.674,13.246,-7.152,,,,,,,
622238.832,3,-0.3,-0.142,10.067,4,0,0,0,,,,,,,,,,,
622238.8896,3,-0.311,-0.144,10.066,4,0,0,0,5,-11.002,12.944,-6.458,,,,,,,
622238.9472,3,-0.304,-0.144,10.067,4,0,0,0,5,-11.189,10.629,-5.675,,,,,,,
622239.0048,3,-0.306,-0.141,10.071,4,0,0,0,5,-11.366,13.164,-6.465,,,,,,,
622239.0624,3,-0.305,-0.144,10.066,4,0,0,0,5,-11.963,14.25,-7.385,,,,,,,
622239.1201,3,-0.305,-0.144,10.067,4,0,0,0,5,-10.8,12.836,-7.594,,,,,,,
622239.1777,3,-0.301,-0.141,10.065,4,0,0,0,5,-12.068,12.086,-6.064,,,,,,,
622239.2353,3,-0.317,-0.146,10.059,4,0,0,0,,,,,,,,,,,
622239.293,3,-0.334,-0.156,10.099,4,-0.022,0.043,0,5,-9.76,12.404,-5.844,,,,,,,
622239.3506,3,-0.303,-0.137,10.045,4,0.014,-0.025,0,5,-10.608,12.801,-5.629,,,,,,,
622239.4082,3,-0.309,-0.143,10.062,4,0.009,-0.018,0,5,-10.76,11.444,-6.003,,,,,,,
622239.4658,3,-0.305,-0.139,10.07,4,0,0,0,5,-11.092,11.687,-6.453,,,,,,,
622239.5235,3,-0.308,-0.137,10.065,4,0,0,0,5,-10.878,13.486,-7.396,,,,,,,
