timestamp,accelerometer,x,y,z,gyro,x,y,z,,average accelerometer,,,average gyro,
602031.8762,3,-0.215,-0.079,10.11,4,-0.001,0.001,0,,,,,,
602031.8786,3,-0.22,-0.093,10.088,4,0,0,0.001,,,,,,
602031.8811,3,-0.227,-0.079,10.098,4,-0.001,0.002,0,,,,,,
602031.8835,3,-0.215,-0.069,10.112,4,0,0,0,,,,,,
602031.8859,3,-0.191,-0.074,10.095,4,-0.001,0.001,0.001,,,,,,
602031.8883,3,-0.215,-0.079,10.114,4,0,0.001,0,,,,,,
602031.8907,3,-0.22,-0.053,10.091,4,0,0,0.001,,,,,,
602031.8931,3,-0.218,-0.065,10.095,4,-0.001,0.001,0.001,,,,,,
602031.8955,3,-0.208,-0.067,10.088,4,0.002,-0.001,-0.001,,,,,,
602031.8979,3,-0.215,-0.079,10.107,4,0,0.001,-0.001,,,,,,
602031.9003,3,-0.194,-0.077,10.105,4,0,0.001,0,,,,,,
602031.9027,3,-0.211,-0.074,10.102,4,0,0.001,0.001,,,,,,
602031.9051,3,-0.23,-0.065,10.114,4,0,0,0,,,,,,
602031.9075,3,-0.201,-0.067,10.098,4,0.002,0,0.001,,,,,,
602031.9099,3,-0.211,-0.067,10.122,4,0.002,-0.001,-0.001,,,,,,
